artist	artist_id	name	album	release_year	header	lyrics
Snoop Dogg	0	Who Am I (What’s My Name)?	Doggystyle	1993	[Verse 2]	"It's the bow to the wow, creepin' and crawlin'
Yiggy-yes, y'allin', Snoop Doggy Dogg in
The motherfuckin' house like every day
Droppin' shit with my nigga Mr. Dr. Dre
Like I said, niggas can't fuck with this
And niggas can't fuck with that
Shit that I drop 'cause ya know it don't stop
Mr. One Eight Seven on a motherfuckin' cop
Tick-tock, never the Glock, just some nuts and a cock
Robbin' motherfuckers, then I kill dem bloodclots
Then I step through the fog and I creep through the smog
'Cause I'm Snoop Doggy (Who?) Doggy (What?) Doggy Dogg"
Kendrick Lamar	16	Hol’ Up	Section.80	2011	[Chorus]	"Hol' up (Hol' up), hol' up (Hol' up)
Hol' up (Hol' up), hol' up (Hol' up)
Yeah, big shit poppin', everybody watchin'
When you do it like this, nigga, losing ain't an option
Hol' up (Hol' up), hol' up (Hol' up)
Hol' up (Hol' up), hol' up (Hol' up)
Yeah, big shit poppin', everybody watchin'
When you do it like this, nigga"
Snoop Dogg	0	Rat-Tat-Tat-Tat	The Chronic	1992	[Outro]	"Straight up
Now you niggas know where my homie comin' from
So quit the chit-chat 'fore you find yourself flat on your bizzack, fool
It's nine-deuce, Dr. Drizzay's sittin' on tizzop
It don't stop, treatin' busters just like a punk-ass cizzop
Biatch"
Kanye West	5	Flashing Lights	Graduation	2007	[Verse 1]	"She don't believe in shootin' stars
But she believe in shoes and cars
Wood floors in the new apartment
Couture from the store's departments
You more like love to start shit
I'm more of the trips to Florida
Ordered the hors d'oeuvres, views of the water
Straight from a page of your favorite author
And the weather so breezy
Man, why can't life always be this easy?
She in the mirror dancin' so sleazy
I get a call like, ""Where are you, Yeezy?""
And try to hit you with the ol-wu-wopte
'Til I got flashed by the paparazzi
Damn, these niggas got me
I hate these niggas more than the Nazis"
Kendrick Lamar	16	Count Me Out	Mr. Morale & The Big Steppers	2022	[Chorus]	"I love when you count me out (Huh)
I love when you count me out
I love when you count me out
(Wah, woo, wah, woo, wah)
I love when you count me out
Fuck it up, fuck it up, fuck it up, fuck it up, fuckin' it up
How you gon' win my trust when the lies run deep? (Wah, woo, wah)
How you gon' bend your love when the bad don't sleep? (Sheesh)
Beep, beep, crash our feelings in the middle of the street (Vroom, vroom)"
Kendrick Lamar	16	Money Trees	good kid, m.A.A.d city	2012	[Verse 2]	"Dreams of livin' life like rappers do (Like rappers do, like rappers do)
Bump that new E-40 after school (Way after school, way after school)
You know, ""Big Ballin' With My Homies"" (My homies)
Earl Stevens had us thinkin' rational (Thinkin' rational, that's rational)
Back to reality, we poor, ya bish (Ya bish, ya bish)
Another casualty at war, ya bish (Ya bish, ya bish)
Two bullets in my Uncle Tony head (My Tony head, my Tony head)
He said one day I'll be on tour, ya bish (Ya bish, ya bish)
That Louis Burgers never be the same (Won't be the same, won't be the same)
A Louis belt'll never ease that pain (Won't ease that pain, won't ease that pain)
But I'ma purchase when that day is jerkin' (That day is jerkin', day is jerkin')
Pull off at Church's with Pirellis skrrtin' (Pirellis skrrtin', Pirellis skrrtin')
Gang signs out the window, ya bish (Ya bish, ya bish)
Hopin' all of 'em offend you, ya bish (Ya bish, ya bish)
They say your hood is a pot of gold (A pot of gold, a pot of gold)
And we gon' crash it when nobody's home"
Rakim	10	I’ll Be There	The Master	1999	[Verse 2]	"Yo, I'm startin' to understand it you like your evenings enchanted
Love is bond, organic- restaurants romantic
Want me to take your hand and take you around the planet
But I take advantage and take you for granted
Call collect explainin' why I ain't came yet
I ain't winnin' the game yet can I get a rain check
Blow me a kiss in the wind, I'm missin' again
Don't let your sisters and your friends tell you this is the end
Talk a hole in your head puttin' bugs in your ear
Make you role in your bed when your thug ain't there
Somewhere around ladies know I get lonely and proud
Open my file baby you should know me by now
Tryin' to get paid and stay away from old sites
Find my place in life plus I like to hold mics
It might be seven whole days and seven whole nights
But yo it's gonna be alright just hold tight"
Big Pun	24	Still Not a Player	Capital Punishment	1998	[Bridge]	"Up in the hot tub poppin' bubbly
Rubbin' your spot, love, got you screamin', ""Punish me!""
But it don't stop, watch the Pun get wicked
When I stick it even Luke be like, ""Don't stop, get it, get it""
Up in the hot tub poppin' bubbly
Rubbin' your spot, love, got you screamin', ""Punish me!""
But it don't stop, watch the Pun get wicked
When I stick it even Luke be like, ""Don't stop, get it, get it"""
Kendrick Lamar	16	Blow My High (Members Only)	Section.80	2011	[Verse 1]	"Taking off when you landing
Bitch niggas gonna throw tantrums
And I'm dancing on them stars
The galaxy ain't got room for y'all
Ain't nothing gonna happen soon for y'all
While I'm here and every day I hear
Your bullshit, self-pity
Reason why you never dealt with me
Reason why your girl dealt with me
Hands up, in the building, we get busy and say"
Travis Scott	33	WHO? WHAT!	ASTROWORLD	2018	[Chorus]	"One, two, three, four, five, that's the countdown 'til I slide (Slide)
Pork and rinds, how I grew up on my side
Ain't no fence, just a hundred acres wide
When shit get tense, we twist up and we get fried"
Snoop Dogg	0	(Tear ’Em Off) Me & My Doggz	Tha Doggfather	1996	[Verse 2]	"Now when it comes to my Doggz they stay fly like geese
But as for me I'm Snoop Dogg I'm soopafly like Priest
I unleash my Doggz then I tilt my brim
I'm bout to trip off Locko 'cause he go taken my swim
I think 'cause my CREAMy low, get back to the pound
He gon' be itchin' like hell to put the bite on the clown
And when you look with the frown he gon' get like 1-2
And ain't a damn thang that your ass can do
I think it's 'cause he lost his big homey Don Killer see
Who ran the whole yard and gangbanged OP
And leave your ass red and yeah half-head
He's a damn fool, he'll jack you for your pants leg
Don't beg you're dead, and don't dare show fear
Young gangsta fucked wit Scrappy and Red tore off his head
And all he could do was cry like a bitch
That's life as pit and mine's in the shit"
The Game	13	Hate It or Love It	The Documentary	2005	[Chorus]	"Go 'head envy me, I'm rap's M.V.P
And I ain't going nowhere, so you can get to know meGo 'head envy me, I'm rap's M.V.P
And I ain't going nowhere, so you can get to know me"
Kendrick Lamar	16	Mortal Man	To Pimp a Butterfly	2015	[Chorus]	"The voice of Mandela, hope this flow stay propellin'
Let my word be your Earth and moon, you consume every message
As I lead this army, make room for mistakes and depression
And if you riding with me, nigga—"
Travis Scott	33	through the late night	Birds in the Trap Sing McKnight	2016	[Verse 2]	"Day and night (Yeah)
I toss and turn, I keep stressin' my mind, mind (Yeah-yeah, yeah-yeah-yeah)
I seek the peace, sometimes I can't restrain (Yeah-yeah, yeah-yeah, yeah)
To join a rage at night, come out and play, play (Ooh), mmm-hmm
Balance (Yeah), find your balance (Pipe up, yeah)
God said it's my talent (Ooh-ooh), sprinkle lil' season on the salad (Ooh-ooh)
Relieve my heart of malice (Yeah), hit my palace (Straight up)
Stroke my cactus (It's lit), ooh, don't wait (Yeah), mmm, don't play (Yeah, yeah)
Play no games like the NBA (Brr), throwin' checks like the NBA (Brr)
You a ring, you a ring, we shootin' shots like the NRA (Brr)
Yeah, she jammin', it's Travis and Kid Cudi (Straight up)
The new Krayzie Bone and Slim Bun B (Yeah)
Shawty, yeah, on the scene, yeah (Yeah), pull up on the scene, yeah (Yeah)
Sip my tea, lean no Hennessy (Yeah)
Ah, save all, take it right (Yeah), ah, take it all, never light (Straight up)
Ah, had a ball, had a night (Yeah), ah, after all, sleep good (Yeah)"
Nas	9	I Want to Talk to You	I Am...	1999	[Outro]	"Can I talk to you, Mr. President?
Niggas tryin' to get with the computers, man
We ain't John Henry
Banging down a fuckin' cave, fighting against a machine
We want to be part of the establishment, nigga
That's what we steppin' up for
Ain't no cartoon out here
This shit is real
Total Package in this nigga
LES in this nigga
Ill Will nigga
Mr. President wanna keep us from establishment
Niggas are American, baby
American Made"
Nas	9	Ether	Stillmatic	2001	[Chorus]	"(I) Fuck with your soul like ether
(Will) Teach you, the king, you know you
(Not) God's Son across the belly
(Lose) I'll prove you lost already (Uh)"
2Pac	18	It Ain’t Easy	Me Against The World	1995	[Chorus]	"—easy bein' me
Will I see the penitentiary, or will I stay free?
It ain't easy bein' me
Will I see the penitentiary, or will I stay free?
It ain't easy bein' me
Will I see the penitentiary, or will I stay free?"
Big Boi	26	Unhappy	Speakerboxxx / The Love Below	2003	[Verse 3]	"1979, Dirty South, local lounge
I never thought that alcohol could ease the notion of the sadness
Now what done used to be a happy home done turned into some bad shit
Graphic language, mild violence and the silence
Of the the fams, no members to remember
But I know just who I am, I've grown into a man
And like my nigga said, we executed the game plan
'Cause we got that "
Travis Scott	33	SKITZO	UTOPIA	2023	[Verse 1]	"Throw it all, before I hit the door, she dropped 'em, had the clothes off (Oh)
I thought it was a setup, watch her, I can't doze off
The dogs out the kennel, watchin' with the scope off
With the heat talk, watch it burn your soul off (Ah)
I took 'em out of office, now they work for me now
I took her out the background, she play the lead now (Lead)
Put it in the back gate, or hold the trees down (Trees)
Tryna tell you what I need, somebody do that there
Late at night, at home, get ratchet, can you do that there?
Way out when I'm on road, you send me do that there
Told you I'ma be right back as long as—
Told you I'ma be right back as long as—
Do that there, do that there
Way out when— (Yeah)
Do that there
Late at night, at home, get ratchet, can you do that there? (Can you do it?)
Told you I'ma be right back as long as—, do that there
(Told you I'ma be right back as long as—)"
Rakim	10	Show Me Love	The 18th Letter	1997	[Verse 1]	"Yo, it's time to bring the day in, fresh out the crib sautéin'
Around the way and swerve on surveyin'
That's when I saw her, the kind you wanna see more of
The sexy aura, it made it hard to ignore her
Expression her posession of property skyrocket
I'm investin' in her presence and in time, it profits
I take a acre for you, fertilize the soil
And make it boil 'til it produce black oil
The shorty sweet as the flavor of forty divas
Photos and features worth more than Mona Lisa's
It's Lady Luscious, tender touches, my blood rushes
Smiles and blushes on billboards and buses
And me? I'm just a bronze-skinned, calm gentleman
Slim-fit and open arms, mellow wit' a Don's grin
Ghetto disciplined, could be your confidant beyond friend
It's one of Allah's men, Rakim, show me love (Show me love)"
Guru	20	F.A.L.A.	Hard to Earn	1994	[Verse 3]	"Word to Mike Tyson, hit you quick like lightnin'
Swing my left jab first and then come in with the right
Cold deck ya, nah, I could never respect a
Punk like you, you get dropped like one-two
And you're out, son, just like a one round bout, son
The outcome is that you'll get that ass hung
Easily, swiftly, you stupid? You can't get with me"
50 Cent	19	In My Hood	The Massacre	2005	[Verse 2]	"I don’t trust a muh’fuckin soul
When the D’s come they fold, on my first case they told
Where I’m from it ain’t safe to have more than a eighth
Niggas’ll come to your place, put a gun in your face
Tell you open the safe, as your heart start to race
Cause a robbery could turn into a homo’ case
Co-operate, or Doc’ll have to operate
Niggas I’ll pop you, run a light then pop at Jake
Trust me son, niggas’ll go hard for that cake
These thirsty niggas are lurking, you’ll have to catch ’em and merk ’em
I’m observant in my hood, cause niggas be dumbing
Shots forfeit the dice game, all you see is the running
They make it harder and harder to pump on the block
I’m a hustler, how the fuck I’m ’sposed to eat when it’s hot?"
